Date,BTC_Open,BTC_High,BTC_Low,BTC_Close,ETH,Oil,S&P500,DJI,NASDAQ
2021/1/8,39381.76563,41946.73828,36838.63672,40797.60938,1224.2,52.24,3824.68,31097.97,13201.98047
2021/1/9,40788.64063,41436.35156,38980.875,40254.54688,1281.08,#N/A,#N/A,#N/A,#N/A
2021/1/10,40254.21875,41420.19141,35984.62891,38356.44141,1262.25,#N/A,#N/A,#N/A,#N/A
2021/1/11,38346.53125,38346.53125,30549.59961,35566.65625,1090.15,52.25,3799.61,31008.69,13036.42969
2021/1/12,35516.35938,36568.52734,32697.97656,33922.96094,1043.43,53.21,3801.19,31068.69,13072.42969
2021/1/13,33915.12109,37599.96094,32584.66797,37316.35938,1130.74,52.91,3809.84,31060.47,13128.9502
2021/1/14,37325.10938,39966.40625,36868.5625,39187.32813,1218.45,53.57,3795.54,30991.52,13112.63965
2021/1/15,39156.70703,39577.71094,34659.58984,36825.36719,1171.83,52.36,3768.25,30814.26,12998.5
2021/1/16,36821.64844,37864.36719,35633.55469,36178.14063,1233.54,#N/A,#N/A,#N/A,#N/A
2021/1/17,36163.64844,36722.35156,34069.32031,35791.27734,1230.17,52.2,#N/A,#N/A,#N/A
2021/1/18,35792.23828,37299.28516,34883.84375,36630.07422,1257.28,52.36,#N/A,#N/A,#N/A
2021/1/19,36642.23438,37755.89063,36069.80469,36069.80469,1377.3,52.98,3798.91,30930.52,13197.17969
2021/1/20,36050.11328,36378.32813,33570.47656,35547.75,1382.27,53.24,3851.85,31188.38,13457.25
2021/1/21,35549.39844,35552.67969,30250.75,30825.69922,1121.57,53.13,3853.07,31176.01,13530.91016
2021/1/22,30817.625,33811.85156,28953.37305,33005.76172,1236.51,52.27,3841.47,30996.98,13543.05957
2021/1/23,32985.75781,33360.97656,31493.16016,32067.64258,1230.99,#N/A,#N/A,#N/A,#N/A
2021/1/24,32064.37695,32944.00781,31106.68555,32289.37891,1391.61,#N/A,#N/A,#N/A,#N/A
2021/1/25,32285.79883,34802.74219,32087.78711,32366.39258,1324.41,52.77,3855.36,30960,13635.99023
2021/1/26,32358.61328,32794.55078,31030.26563,32569.84961,1357.06,52.61,3849.62,30937.04,13626.05957
2021/1/27,32564.0293,32564.0293,29367.13867,30432.54688,1253.19,52.85,3750.77,30303.17,13270.59961
2021/1/28,30441.04102,33858.3125,30023.20703,33466.09766,1332.49,52.34,3787.38,30603.36,13337.16016
2021/1/29,34318.67188,38406.26172,32064.81445,34316.38672,1382.52,52.2,3714.24,29982.62,13070.69043
2021/1/30,34295.93359,34834.70703,32940.1875,34269.52344,1376.12,#N/A,#N/A,#N/A,#N/A
2021/1/31,34270.87891,34288.33203,32270.17578,33114.35938,1314.99,#N/A,#N/A,#N/A,#N/A
2021/2/1,33114.57813,34638.21484,32384.22852,33537.17578,1369.04,53.55,3773.86,30211.91,13403.38965
2021/2/2,33533.19922,35896.88281,33489.21875,35510.28906,1515.19,54.76,3826.31,30687.48,13612.78027
2021/2/3,35510.82031,37480.1875,35443.98438,37472.08984,1660.91,55.69,3830.17,30723.6,13610.54004
2021/2/4,37475.10547,38592.17578,36317.5,36926.06641,1594.76,56.23,3871.74,31055.86,13777.74023
2021/2/5,36931.54688,38225.90625,36658.76172,38144.30859,1718.65,56.85,3886.83,31148.24,13856.29981
2021/2/6,38138.38672,40846.54688,38138.38672,39266.01172,1677.85,#N/A,#N/A,#N/A,#N/A
2021/2/7,39250.19141,39621.83594,37446.15234,38903.44141,1614.23,#N/A,#N/A,#N/A,#N/A
2021/2/8,38886.82813,46203.92969,38076.32422,46196.46484,1746.62,57.97,3915.59,31385.76,13987.63965
2021/2/9,46184.99219,48003.72266,45166.96094,46481.10547,1768.04,58.36,3911.23,31375.83,14007.7002
2021/2/10,46469.76172,47145.56641,43881.15234,44918.18359,1744.24,58.68,3909.88,31437.8,13972.53027
2021/2/11,44898.71094,48463.46875,44187.76172,47909.33203,1783.8,58.24,3916.38,31430.7,14025.76953
2021/2/12,47877.03516,48745.73438,46424.97656,47504.85156,1843.53,59.47,3934.83,31458.4,14095.46973
2021/2/13,47491.20313,48047.74609,46392.28125,47105.51563,1814.11,#N/A,#N/A,#N/A,#N/A
2021/2/14,47114.50781,49487.64063,47114.50781,48717.28906,1805.08,60.37,#N/A,#N/A,#N/A
2021/2/15,48696.53516,48875.57031,46347.47656,47945.05859,1779.79,60.09,#N/A,#N/A,#N/A
2021/2/16,47944.45703,50341.10156,47201.30469,49199.87109,1781.07,60.05,3932.59,31522.75,14047.5
2021/2/17,49207.27734,52533.91406,49072.37891,52149.00781,1848.46,61.14,3931.33,31613.02,13965.49023
2021/2/18,52140.97266,52474.10547,51015.76563,51679.79688,1937.45,60.52,3913.97,31493.34,13865.36035
2021/2/19,51675.98047,56113.65234,50937.27734,55888.13281,1960.16,59.24,3906.71,31494.32,13874.45996
2021/2/20,55887.33594,57505.22656,54626.55859,56099.51953,1919.53,#N/A,#N/A,#N/A,#N/A
2021/2/21,56068.56641,58330.57031,55672.60938,57539.94531,1935.6,#N/A,#N/A,#N/A,#N/A
2021/2/22,57532.73828,57533.39063,48967.56641,54207.32031,1781.99,61.49,3876.5,31521.69,13533.04981
2021/2/23,54204.92969,54204.92969,45290.58984,48824.42578,1570.2,61.67,3881.37,31537.35,13465.2002
2021/2/24,48835.08594,51290.13672,47213.5,49705.33203,1626.58,63.22,3925.43,31961.86,13597.96973
2021/2/25,49709.08203,51948.96875,47093.85156,47093.85156,1475.7,63.53,3829.34,31402.01,13119.42969
2021/2/26,47180.46484,48370.78516,44454.84375,46339.76172,1446.03,61.5,3811.15,30932.37,13192.34961
2021/2/27,46344.77344,48253.26953,45269.02734,46188.45313,1459.97,#N/A,#N/A,#N/A,#N/A
2021/2/28,46194.01563,46716.42969,43241.61719,45137.76953,1416.05,#N/A,#N/A,#N/A,#N/A
2021/3/1,45159.50391,49784.01563,45115.09375,49631.24219,1564.71,60.64,3901.82,31535.51,13588.83008
2021/3/2,49612.10547,50127.51172,47228.84375,48378.98828,1492.61,59.75,3870.29,31391.52,13358.79004
2021/3/3,48415.81641,52535.13672,48274.32031,50538.24219,1575.85,61.28,3819.72,31270.09,12997.75
2021/3/4,50522.30469,51735.08984,47656.92969,48561.16797,1541.91,63.83,3768.47,30924.14,12723.46973
2021/3/5,48527.03125,49396.42969,46542.51563,48927.30469,1533.27,66.09,3841.94,31496.3,12920.15039
2021/3/6,48899.23047,49147.21875,47257.52734,48912.38281,1654.74,#N/A,#N/A,#N/A,#N/A
2021/3/7,48918.67969,51384.36719,48918.67969,51206.69141,1723.15,#N/A,#N/A,#N/A,#N/A
2021/3/8,51174.11719,52314.07031,49506.05469,52246.52344,1834.73,65.05,3821.35,31802.44,12609.16016
2021/3/9,52272.96875,54824.11719,51981.83203,54824.11719,1868.05,64.01,3875.44,31832.74,13073.82031
2021/3/10,54824.01172,57258.25391,53290.89063,56008.55078,1799.17,64.44,3898.81,32297.02,13068.83008
2021/3/11,55963.17969,58091.0625,54484.59375,57805.12109,1826.19,66.02,3939.34,32485.59,13398.66992
2021/3/12,57821.21875,57996.62109,55376.64844,57332.08984,1772.1,65.61,3943.34,32778.64,13319.86035
